Year,"Papers Refereed",NIRC 1993Mar,LRIS 1993May,HIRES 1993Jul,LWS 1998Oct,NIRSPEC 1999Apr,ESI 1999Aug,NIRC2 2001Jul,DEIMOS 2002Jun,OSIRIS 2005Feb,MOSFIRE 2012Apr,"Instruments undetermined"
2017,245,0,54,60,0,20,12,60,46,13,26,0
2016,302,2,56,82,0,24,65,65,56,11,37,7
2015,305,2,70,81,1,21,23,54,72,13,29,3
2014,301,1,77,73,1,23,12,63,70,11,15,10
2013,319,4,84,93,1,40,11,60,63,22,11,4
2012,335,6,107,98,0,40,16,54,80,9,0,0
2011,300,0,86,89,2,35,9,41,64,13,0,2
2010,289,1,97,78,2,28,18,32,51,10,0,2
2009,269,1,72,76,2,29,11,29,55,14,0,2
2008,263,10,90,51,5,38,21,32,48,2,0,1
2007,313,20,85,66,4,49,26,28,70,6,0,1
2006,277,13,98,61,9,34,33,22,44,4,0,0
2005,232,11,76,57,10,23,21,23,20,0,0,0
2004,214,17,70,48,13,40,16,11,18,0,0,0
2003,212,12,76,50,7,35,38,7,4,0,0,1
2002,194,23,69,46,8,30,26,2,0,0,0,1
2001,176,25,83,50,8,13,13,0,0,0,0,1
2000,169,28,70,51,7,8,2,0,0,0,0,0
1999,127,21,57,51,1,0,0,0,0,0,0,0
1998,109,23,65,22,1,0,0,0,0,0,0,0
1997,68,7,31,32,0,0,0,0,0,0,0,0
1996,53,9,24,21,0,0,0,0,0,0,0,0
1995,36,8,20,9,0,0,0,0,0,0,0,0
1994,11,5,1,5,0,0,0,0,0,0,0,0
